run_id,rq,phase,task,tier,dataset,budget,generator,generation_id,model,ratio,allocation,reweight,training_seed,selection_seed,status,wall_seconds,peak_gpu_gb,primary_metric,primary_value
cifar100_shot10_seed0_resnet50_mixup_seed1,RQ4,1,classification,A,cifar100,10-shot,mixup,,resnet50,0,,False,1,0,done,129.65,0.983,top1,0.1659
cifar100_shot10_seed0_resnet50_mixup_seed2,RQ4,1,classification,A,cifar100,10-shot,mixup,,resnet50,0,,False,2,0,done,130.04,0.983,top1,0.1668
cifar100_shot10_seed0_resnet50_mixup_seed3,RQ4,1,classification,A,cifar100,10-shot,mixup,,resnet50,0,,False,3,0,done,129.4,0.983,top1,0.1645
cifar100_shot10_seed0_resnet50_mixup_seed4,RQ4,1,classification,A,cifar100,10-shot,mixup,,resnet50,0,,False,4,0,done,129.9,0.983,top1,0.1673
cifar100_shot10_seed0_resnet50_cutmix_seed0,RQ4,1,classification,A,cifar100,10-shot,cutmix,,resnet50,0,,False,0,0,done,129.93,0.984,top1,0.1431
cifar100_shot10_seed0_resnet50_cutmix_seed1,RQ4,1,classification,A,cifar100,10-shot,cutmix,,resnet50,0,,False,1,0,done,130.11,0.984,top1,0.1356
cifar100_shot10_seed0_resnet50_cutmix_seed2,RQ4,1,classification,A,cifar100,10-shot,cutmix,,resnet50,0,,False,2,0,done,130.2,0.984,top1,0.1375
cifar100_shot10_seed0_resnet50_cutmix_seed3,RQ4,1,classification,A,cifar100,10-shot,cutmix,,resnet50,0,,False,3,0,done,130.23,0.984,top1,0.1402
cifar100_shot10_seed0_resnet50_cutmix_seed4,RQ4,1,classification,A,cifar100,10-shot,cutmix,,resnet50,0,,False,4,0,done,130.21,0.984,top1,0.1441
cifar100_shot10_seed0_convnext_t_none_seed0,RQ2,1,classification,A,cifar100,10-shot,none,,convnext_t,0,,False,0,0,done,138.51,0.692,top1,0.1063
cifar100_shot10_seed0_convnext_t_none_seed1,RQ2,1,classification,A,cifar100,10-shot,none,,convnext_t,0,,False,1,0,done,138.56,0.692,top1,0.1213
cifar100_shot10_seed0_convnext_t_none_seed2,RQ2,1,classification,A,cifar100,10-shot,none,,convnext_t,0,,False,2,0,done,138.78,0.692,top1,0.1119
cifar100_shot10_seed0_convnext_t_none_seed3,RQ2,1,classification,A,cifar100,10-shot,none,,convnext_t,0,,False,3,0,done,137.89,0.692,top1,0.1144
cifar100_shot10_seed0_convnext_t_none_seed4,RQ2,1,classification,A,cifar100,10-shot,none,,convnext_t,0,,False,4,0,done,139.46,0.692,top1,0.1136
cifar100_shot10_seed0_convnext_t_randaugment_seed0,RQ4,1,classification,A,cifar100,10-shot,randaugment,,convnext_t,0,,False,0,0,done,154.68,0.692,top1,0.01
cifar100_shot10_seed0_convnext_t_randaugment_seed1,RQ4,1,classification,A,cifar100,10-shot,randaugment,,convnext_t,0,,False,1,0,done,162.54,0.692,top1,0.1431
cifar100_shot10_seed0_convnext_t_randaugment_seed2,RQ4,1,classification,A,cifar100,10-shot,randaugment,,convnext_t,0,,False,2,0,done,162.14,0.692,top1,0.1394
cifar100_shot10_seed0_convnext_t_randaugment_seed3,RQ4,1,classification,A,cifar100,10-shot,randaugment,,convnext_t,0,,False,3,0,done,162.45,0.692,top1,0.1422
cifar100_shot10_seed0_convnext_t_randaugment_seed4,RQ4,1,classification,A,cifar100,10-shot,randaugment,,convnext_t,0,,False,4,0,done,161.31,0.692,top1,0.1418
cifar100_shot10_seed0_convnext_t_mixup_seed0,RQ4,1,classification,A,cifar100,10-shot,mixup,,convnext_t,0,,False,0,0,done,140.02,0.693,top1,0.121
cifar100_shot10_seed0_convnext_t_mixup_seed1,RQ4,1,classification,A,cifar100,10-shot,mixup,,convnext_t,0,,False,1,0,done,139.97,0.693,top1,0.1275
cifar100_shot10_seed0_convnext_t_mixup_seed2,RQ4,1,classification,A,cifar100,10-shot,mixup,,convnext_t,0,,False,2,0,done,141.39,0.693,top1,0.1213
cifar100_shot10_seed0_convnext_t_mixup_seed3,RQ4,1,classification,A,cifar100,10-shot,mixup,,convnext_t,0,,False,3,0,done,141.33,0.693,top1,0.1213
cifar100_shot10_seed0_convnext_t_mixup_seed4,RQ4,1,classification,A,cifar100,10-shot,mixup,,convnext_t,0,,False,4,0,done,141.85,0.693,top1,0.1258
cifar100_shot10_seed0_convnext_t_cutmix_seed0,RQ4,1,classification,A,cifar100,10-shot,cutmix,,convnext_t,0,,False,0,0,done,140.11,0.693,top1,0.1385
cifar100_shot10_seed0_convnext_t_cutmix_seed1,RQ4,1,classification,A,cifar100,10-shot,cutmix,,convnext_t,0,,False,1,0,done,140.2,0.693,top1,0.138
cifar100_shot10_seed0_convnext_t_cutmix_seed2,RQ4,1,classification,A,cifar100,10-shot,cutmix,,convnext_t,0,,False,2,0,done,140.58,0.693,top1,0.1354
cifar100_shot10_seed0_convnext_t_cutmix_seed3,RQ4,1,classification,A,cifar100,10-shot,cutmix,,convnext_t,0,,False,3,0,done,141.44,0.693,top1,0.1373
cifar100_shot10_seed0_convnext_t_cutmix_seed4,RQ4,1,classification,A,cifar100,10-shot,cutmix,,convnext_t,0,,False,4,0,done,141.71,0.693,top1,0.1357
cifar100_shot10_seed0_vit_b16_none_seed0,RQ2,1,classification,A,cifar100,10-shot,none,,vit_b16,0,,False,0,0,planned,,,,
cifar100_shot10_seed0_vit_b16_none_seed1,RQ2,1,classification,A,cifar100,10-shot,none,,vit_b16,0,,False,1,0,planned,,,,
cifar100_shot10_seed0_vit_b16_none_seed2,RQ2,1,classification,A,cifar100,10-shot,none,,vit_b16,0,,False,2,0,planned,,,,
cifar100_shot10_seed0_vit_b16_none_seed3,RQ2,1,classification,A,cifar100,10-shot,none,,vit_b16,0,,False,3,0,planned,,,,
cifar100_shot10_seed0_vit_b16_none_seed4,RQ2,1,classification,A,cifar100,10-shot,none,,vit_b16,0,,False,4,0,planned,,,,
cifar100_shot10_seed0_vit_b16_randaugment_seed0,RQ4,1,classification,A,cifar100,10-shot,randaugment,,vit_b16,0,,False,0,0,planned,,,,
